shipment_id,order_id,shipment_status,shipment_date
1,1,Delivered,2025-05-06
2,2,Delivered,2026-05-26
3,3,Delivered,2024-11-06
4,4,Delivered,2026-03-30
5,5,Delivered,2025-09-25
6,6,Cancelled,2024-09-18
7,7,Delivered,2025-09-25
8,8,Delivered,2025-01-01
9,9,Delivered,2026-03-07
10,10,Processing,2025-07-10
11,11,Delivered,2024-10-05
12,12,Delivered,2025-06-10
13,13,Processing,2025-01-05
14,14,Delivered,2026-01-03
15,15,Processing,2025-10-16
16,16,Processing,2025-10-30
17,17,Delivered,2025-12-01
18,18,Delivered,2024-08-22
19,19,Delivered,2025-05-06
20,20,Delivered,2026-05-08
21,21,Delivered,2024-09-18
22,22,Delivered,2025-04-21
23,23,Delivered,2026-05-06
24,24,Delivered,2025-08-08
25,25,Delivered,2024-07-14
26,26,Delivered,2024-12-23
27,27,Delivered,2024-10-19
28,28,Delivered,2025-01-13
29,29,Delivered,2025-08-08
30,30,Delivered,2026-01-20
31,31,Delivered,2026-03-27
32,32,Delivered,2024-12-13
33,33,Delivered,2025-01-26
34,34,Cancelled,2025-10-25
35,35,Processing,2024-11-09
36,36,Delivered,2026-05-09
37,37,Delivered,2025-01-19
38,38,Delivered,2026-02-27
39,39,Processing,2026-05-06
40,40,Processing,2026-06-20
41,41,Delivered,2025-09-03
42,42,Cancelled,2026-04-26
43,43,Delivered,2026-04-24
44,44,Delivered,2024-11-15
45,45,Delivered,2025-02-17
46,46,Delivered,2025-12-16
47,47,Delivered,2024-11-28
48,48,Delivered,2025-04-10
49,49,Processing,2025-05-31
50,50,In Transit,2024-10-29
51,51,Delivered,2025-09-27
52,52,Delivered,2025-12-03
53,53,Delivered,2025-01-17
54,54,Processing,2025-10-10
55,55,Delivered,2024-09-23
56,56,Delivered,2026-06-07
57,57,Delivered,2025-01-07
58,58,Cancelled,2025-06-27
59,59,Delivered,2024-11-14
60,60,In Transit,2025-07-05
61,61,Delivered,2025-07-01
62,62,Delivered,2024-11-28
63,63,Processing,2025-04-05
64,64,Delivered,2025-08-31
65,65,Delivered,2024-07-23
66,66,Delivered,2024-12-23
67,67,Delivered,2026-05-12
68,68,Delivered,2025-09-15
69,69,Delivered,2024-11-11
70,70,Delivered,2025-02-20
71,71,Delivered,2025-12-03
72,72,Delivered,2025-09-26
73,73,Delivered,2024-10-14
74,74,Delivered,2025-12-21
75,75,In Transit,2025-05-02
76,76,In Transit,2024-08-29
77,77,Delivered,2025-04-30
78,78,Delivered,2025-06-06
79,79,Delivered,2025-11-22
80,80,Delivered,2024-10-29
81,81,Processing,2025-07-10
82,82,Processing,2026-06-26
83,83,Delivered,2026-04-26
84,84,Delivered,2025-12-30
85,85,Delivered,2026-04-14
86,86,Delivered,2026-05-26
87,87,Delivered,2025-09-15
88,88,Delivered,2026-04-19
89,89,Delivered,2025-04-02
90,90,In Transit,2024-12-20
91,91,Delivered,2026-05-12
92,92,Delivered,2025-06-16
93,93,Delivered,2026-01-16
94,94,Delivered,2025-08-23
95,95,Delivered,2025-04-26
96,96,In Transit,2024-07-25
97,97,Delivered,2026-02-04
98,98,Delivered,2024-09-11
99,99,Delivered,2026-03-08
100,100,Processing,2025-11-11
101,101,Delivered,2026-06-26
102,102,Delivered,2025-02-08
103,103,Delivered,2025-11-27
104,104,In Transit,2024-12-18
105,105,Delivered,2024-12-28
106,106,In Transit,2024-10-08
107,107,Delivered,2026-01-17
108,108,Delivered,2025-01-01
109,109,Delivered,2026-04-01
110,110,Delivered,2025-11-04
111,111,Delivered,2026-03-07
112,112,Delivered,2026-01-02
113,113,Delivered,2025-05-31
114,114,Processing,2024-12-25
115,115,Delivered,2025-10-29
116,116,Processing,2025-08-23
117,117,Delivered,2025-03-13
118,118,Delivered,2025-06-17
119,119,Delivered,2025-08-04
