payment_id,order_id,payment_method,payment_status,payment_date
1,1,Wallet,Completed,2025-12-29
2,2,Credit Card,Completed,2026-05-15
3,3,Wallet,Completed,2025-09-15
4,4,Debit Card,Completed,2024-08-21
5,5,Credit Card,Completed,2026-06-02
6,6,Wallet,Completed,2024-07-08
7,7,UPI,Completed,2025-10-05
8,8,Net Banking,Completed,2025-05-31
9,9,Debit Card,Completed,2026-02-09
10,10,Wallet,Completed,2025-06-02
11,11,Net Banking,Completed,2026-05-23
12,12,Net Banking,Completed,2026-01-31
13,13,Net Banking,Completed,2026-05-22
14,14,Credit Card,Completed,2024-07-28
15,15,UPI,Pending,2025-06-10
16,16,UPI,Completed,2025-09-16
17,17,Credit Card,Completed,2026-01-23
18,18,Wallet,Completed,2025-12-05
19,19,UPI,Pending,2024-07-08
20,20,Debit Card,Completed,2026-06-01
21,21,Net Banking,Completed,2026-01-18
22,22,UPI,Completed,2025-11-04
23,23,Credit Card,Pending,2025-03-22
24,24,Wallet,Completed,2026-03-08
25,25,Net Banking,Pending,2024-12-23
26,26,Net Banking,Completed,2026-01-31
27,27,Net Banking,Completed,2026-05-04
28,28,Credit Card,Completed,2024-09-12
29,29,UPI,Completed,2024-09-13
30,30,Credit Card,Completed,2025-10-20
31,31,Credit Card,Completed,2025-09-30
32,32,Credit Card,Completed,2026-05-09
33,33,Debit Card,Completed,2026-03-02
34,34,Net Banking,Completed,2026-02-12
35,35,UPI,Completed,2025-12-27
36,36,Net Banking,Completed,2024-07-16
37,37,Credit Card,Completed,2025-04-07
38,38,UPI,Failed,2024-08-26
39,39,Net Banking,Completed,2026-04-28
40,40,Net Banking,Completed,2024-12-13
41,41,Credit Card,Failed,2025-03-24
42,42,Net Banking,Completed,2026-01-27
43,43,Net Banking,Pending,2024-09-21
44,44,UPI,Completed,2026-03-03
45,45,Credit Card,Completed,2025-11-19
46,46,Credit Card,Completed,2024-12-04
47,47,Debit Card,Completed,2025-11-06
48,48,Credit Card,Completed,2025-09-12
49,49,Wallet,Completed,2025-04-27
50,50,Credit Card,Completed,2026-01-01
51,51,Credit Card,Completed,2024-11-13
52,52,Net Banking,Completed,2025-09-09
53,53,Debit Card,Completed,2025-09-11
54,54,Wallet,Completed,2025-02-11
55,55,Debit Card,Completed,2025-10-07
56,56,Net Banking,Completed,2024-12-11
57,57,Credit Card,Completed,2025-07-18
58,58,Net Banking,Failed,2025-07-21
59,59,Debit Card,Completed,2025-09-12
60,60,UPI,Completed,2024-09-13
61,61,Net Banking,Completed,2024-08-22
62,62,Debit Card,Pending,2025-05-12
63,63,UPI,Completed,2025-10-09
64,64,Wallet,Pending,2025-03-19
65,65,Debit Card,Completed,2024-10-05
66,66,Wallet,Completed,2024-07-30
67,67,Credit Card,Completed,2024-12-29
68,68,UPI,Completed,2025-06-23
69,69,Debit Card,Completed,2024-10-06
70,70,Wallet,Completed,2025-12-05
71,71,Credit Card,Completed,2025-01-27
72,72,UPI,Completed,2025-02-23
73,73,Wallet,Completed,2024-08-18
74,74,Net Banking,Completed,2024-11-27
75,75,UPI,Completed,2026-05-18
76,76,Debit Card,Completed,2025-08-19
77,77,Debit Card,Completed,2025-08-04
78,78,Wallet,Completed,2026-02-26
79,79,Debit Card,Completed,2025-11-28
80,80,Credit Card,Pending,2025-05-03
81,81,Debit Card,Pending,2025-04-02
82,82,UPI,Completed,2024-09-19
83,83,Debit Card,Completed,2024-12-22
84,84,UPI,Completed,2026-01-17
85,85,Credit Card,Completed,2025-02-08
86,86,Wallet,Completed,2025-04-02
87,87,Wallet,Failed,2025-07-04
88,88,Credit Card,Completed,2025-06-24
89,89,Wallet,Completed,2025-03-26
90,90,Wallet,Completed,2024-08-11
91,91,Credit Card,Completed,2024-07-08
92,92,Wallet,Completed,2025-11-09
93,93,UPI,Completed,2026-05-31
94,94,Debit Card,Completed,2025-01-15
95,95,UPI,Failed,2025-12-20
96,96,UPI,Completed,2026-04-03
97,97,Wallet,Completed,2025-05-16
98,98,Net Banking,Completed,2024-10-24
99,99,Wallet,Completed,2024-10-19
100,100,UPI,Completed,2026-03-10
101,101,Net Banking,Failed,2025-04-13
102,102,Credit Card,Completed,2026-02-16
103,103,Wallet,Failed,2026-01-19
104,104,Credit Card,Completed,2024-08-25
105,105,Debit Card,Completed,2025-01-09
106,106,Wallet,Completed,2025-08-31
107,107,Debit Card,Completed,2024-09-27
108,108,Credit Card,Completed,2025-02-10
109,109,Wallet,Completed,2024-12-24
110,110,UPI,Completed,2025-11-21
111,111,Wallet,Completed,2026-04-28
112,112,Credit Card,Completed,2025-02-17
113,113,Net Banking,Completed,2024-10-01
114,114,Wallet,Completed,2025-12-18
115,115,Credit Card,Completed,2025-01-07
116,116,Debit Card,Completed,2024-07-06
117,117,Net Banking,Pending,2025-08-26
118,118,Wallet,Completed,2025-06-07
119,119,Credit Card,Completed,2024-08-26
120,120,Wallet,Completed,2024-09-09
121,121,Net Banking,Completed,2026-05-14
122,122,Debit Card,Failed,2026-05-03
123,123,Credit Card,Completed,2025-09-19
124,124,UPI,Completed,2025-03-04
125,125,Credit Card,Completed,2024-07-23
126,126,UPI,Completed,2024-09-08
127,127,Net Banking,Completed,2025-11-01
128,128,Credit Card,Completed,2025-08-05
129,129,UPI,Completed,2025-08-10
130,130,Debit Card,Completed,2026-05-31
131,131,UPI,Completed,2024-07-04
132,132,Credit Card,Completed,2024-11-01
133,133,Wallet,Completed,2025-05-31
134,134,Credit Card,Completed,2026-02-09
135,135,Debit Card,Completed,2025-05-12
136,136,UPI,Completed,2026-02-13
137,137,UPI,Completed,2025-10-26
138,138,UPI,Completed,2025-05-22
139,139,Credit Card,Completed,2025-12-30
140,140,Credit Card,Completed,2024-06-29
141,141,UPI,Completed,2025-08-21
142,142,Wallet,Completed,2025-12-06
143,143,Net Banking,Completed,2024-07-15
144,144,Net Banking,Completed,2025-06-17
145,145,UPI,Completed,2026-01-31
146,146,Credit Card,Completed,2025-07-16
147,147,Net Banking,Completed,2024-12-13
148,148,Credit Card,Completed,2025-01-30
149,149,Credit Card,Completed,2025-02-28
150,150,Debit Card,Completed,2025-05-25
151,151,Debit Card,Completed,2025-10-22
152,152,UPI,Completed,2024-12-30
153,153,Wallet,Completed,2024-09-20
154,154,Debit Card,Completed,2026-03-20
155,155,UPI,Completed,2024-09-14
156,156,Debit Card,Completed,2026-02-04
157,157,Wallet,Completed,2024-11-16
158,158,UPI,Completed,2025-10-13
159,159,Credit Card,Completed,2025-10-03
160,160,UPI,Completed,2024-08-03
161,161,UPI,Completed,2024-11-30
162,162,UPI,Completed,2025-11-16
163,163,UPI,Completed,2026-04-12
164,164,Wallet,Completed,2026-02-28
165,165,UPI,Completed,2025-08-22
166,166,Debit Card,Completed,2024-11-09
167,167,Debit Card,Completed,2025-02-12
168,168,UPI,Completed,2026-06-09
169,169,Net Banking,Pending,2025-08-07
170,170,UPI,Completed,2024-07-14
171,171,Debit Card,Completed,2025-07-13
172,172,Debit Card,Completed,2025-11-29
173,173,Credit Card,Completed,2025-07-10
174,174,Net Banking,Completed,2024-07-10
175,175,UPI,Completed,2024-09-15
176,176,Credit Card,Completed,2025-12-24
177,177,Credit Card,Completed,2024-07-11
178,178,UPI,Completed,2024-07-25
179,179,Credit Card,Completed,2025-01-31
180,180,Wallet,Completed,2024-08-31
181,181,Net Banking,Completed,2026-04-10
182,182,Wallet,Completed,2024-08-20
183,183,Credit Card,Completed,2024-08-31
184,184,Debit Card,Completed,2025-02-10
185,185,Wallet,Completed,2025-01-09
186,186,Wallet,Completed,2025-10-13
187,187,Wallet,Completed,2026-06-26
188,188,Credit Card,Completed,2026-03-06
189,189,Credit Card,Completed,2026-04-01
190,190,Wallet,Completed,2026-06-05
191,191,UPI,Completed,2025-09-01
192,192,Net Banking,Completed,2025-02-24
193,193,Wallet,Completed,2025-11-07
194,194,Debit Card,Completed,2024-10-25
195,195,UPI,Completed,2026-05-26
196,196,Credit Card,Failed,2025-05-03
197,197,Credit Card,Failed,2025-11-08
198,198,Wallet,Completed,2024-12-02
199,199,Net Banking,Completed,2026-02-12
200,200,UPI,Completed,2024-10-16
201,201,Credit Card,Completed,2025-02-08
202,202,Net Banking,Completed,2024-12-08
203,203,Debit Card,Completed,2024-10-26
204,204,Debit Card,Completed,2024-10-08
205,205,Wallet,Completed,2024-12-27
206,206,Debit Card,Completed,2025-02-15
207,207,Net Banking,Completed,2025-12-27
208,208,Wallet,Completed,2024-07-11
209,209,Wallet,Pending,2026-02-24
210,210,Debit Card,Completed,2025-03-13
211,211,UPI,Completed,2024-11-06
212,212,UPI,Pending,2025-04-07
213,213,UPI,Completed,2024-12-11
214,214,UPI,Completed,2024-12-13
215,215,Debit Card,Completed,2024-12-21
216,216,UPI,Failed,2026-03-31
217,217,Wallet,Failed,2024-12-06
218,218,Debit Card,Completed,2025-08-22
219,219,UPI,Completed,2026-04-21
220,220,Debit Card,Completed,2025-02-22
221,221,Net Banking,Completed,2026-05-20
222,222,Credit Card,Completed,2026-02-26
223,223,Net Banking,Completed,2025-05-04
224,224,Net Banking,Completed,2026-06-29
225,225,Credit Card,Completed,2025-06-02
226,226,Debit Card,Completed,2025-03-19
227,227,Wallet,Completed,2025-10-02
228,228,Wallet,Completed,2025-09-11
229,229,Debit Card,Completed,2024-08-12
230,230,Wallet,Failed,2024-10-03
231,231,Net Banking,Completed,2024-12-09
232,232,Wallet,Completed,2024-08-07
233,233,Credit Card,Completed,2025-07-16
234,234,Net Banking,Completed,2025-08-06
235,235,Net Banking,Completed,2025-07-03
236,236,UPI,Completed,2024-09-14
237,237,Credit Card,Completed,2026-03-31
238,238,Wallet,Completed,2024-12-23
239,239,Net Banking,Completed,2026-01-04
240,240,Debit Card,Completed,2025-05-30
241,241,Wallet,Completed,2024-07-04
242,242,UPI,Completed,2025-12-07
243,243,Debit Card,Completed,2026-05-11
244,244,Wallet,Completed,2025-05-23
245,245,UPI,Completed,2025-06-14
246,246,UPI,Completed,2026-01-30
247,247,UPI,Completed,2025-09-25
248,248,UPI,Completed,2025-08-31
249,249,Net Banking,Completed,2026-04-05
250,250,UPI,Completed,2026-04-13
251,251,Net Banking,Completed,2025-05-01
252,252,Net Banking,Completed,2024-12-25
253,253,Net Banking,Completed,2025-12-27
254,254,Debit Card,Completed,2025-01-03
255,255,Net Banking,Completed,2025-04-07
256,256,Debit Card,Completed,2026-04-26
257,257,Credit Card,Completed,2025-12-09
258,258,Wallet,Completed,2026-06-24
259,259,Wallet,Completed,2026-01-03
260,260,Credit Card,Completed,2026-02-12
261,261,Credit Card,Completed,2025-12-09
262,262,Wallet,Completed,2024-09-28
263,263,Debit Card,Completed,2025-02-11
264,264,Wallet,Completed,2026-02-25
265,265,Debit Card,Completed,2026-02-12
266,266,Wallet,Completed,2024-07-07
267,267,Net Banking,Completed,2026-03-21
268,268,Wallet,Completed,2026-01-07
269,269,Wallet,Completed,2026-04-16
270,270,Wallet,Completed,2025-08-29
271,271,Net Banking,Completed,2025-12-06
272,272,Net Banking,Completed,2025-02-22
273,273,Credit Card,Completed,2025-03-16
274,274,Wallet,Completed,2025-01-17
275,275,Debit Card,Completed,2026-04-20
276,276,Credit Card,Completed,2025-08-11
277,277,UPI,Completed,2026-03-03
278,278,Credit Card,Completed,2025-08-16
279,279,Credit Card,Pending,2024-11-21
280,280,Credit Card,Completed,2025-05-06
281,281,Debit Card,Completed,2025-10-18
282,282,Debit Card,Completed,2025-05-26
283,283,Wallet,Failed,2026-01-13
284,284,Net Banking,Completed,2026-05-25
285,285,Net Banking,Completed,2025-01-09
286,286,Credit Card,Completed,2026-01-24
287,287,Net Banking,Completed,2025-07-12
288,288,UPI,Completed,2025-03-21
289,289,UPI,Completed,2025-05-13
290,290,Net Banking,Pending,2025-02-09
291,291,Wallet,Completed,2025-05-15
292,292,Debit Card,Completed,2025-08-18
293,293,Net Banking,Completed,2025-10-18
294,294,Debit Card,Completed,2025-12-02
295,295,Credit Card,Completed,2026-01-06
296,296,Net Banking,Completed,2025-02-02
297,297,Debit Card,Completed,2025-02-05
298,298,Wallet,Completed,2024-12-29
299,299,Debit Card,Completed,2025-04-08
300,300,Wallet,Completed,2024-09-20
301,301,Credit Card,Pending,2026-06-14
302,302,UPI,Completed,2025-05-01
303,303,UPI,Completed,2024-11-28
304,304,Credit Card,Completed,2026-06-24
305,305,UPI,Completed,2024-11-02
306,306,Credit Card,Completed,2026-05-12
307,307,UPI,Completed,2025-12-08
308,308,Debit Card,Completed,2024-10-28
309,309,Net Banking,Completed,2025-02-11
310,310,Debit Card,Completed,2025-03-26
311,311,Net Banking,Completed,2025-08-16
312,312,UPI,Completed,2024-10-17
313,313,Net Banking,Completed,2024-07-02
314,314,Credit Card,Pending,2024-12-06
315,315,Credit Card,Completed,2026-02-14
316,316,Debit Card,Pending,2025-06-25
317,317,UPI,Completed,2025-08-13
318,318,UPI,Completed,2025-04-19
319,319,Credit Card,Completed,2025-01-17
320,320,UPI,Completed,2026-04-15
321,321,Net Banking,Completed,2025-06-27
322,322,Debit Card,Completed,2024-11-15
323,323,Net Banking,Completed,2025-05-13
324,324,Wallet,Completed,2025-08-10
325,325,Net Banking,Completed,2025-01-06
326,326,Debit Card,Completed,2025-10-24
327,327,Debit Card,Completed,2026-02-25
328,328,Net Banking,Completed,2024-10-06
329,329,Net Banking,Completed,2026-06-19
330,330,Credit Card,Completed,2026-05-15
